2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration [B -> org.hibernate.type.BinaryType@57abad67
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@2dca0d64
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@2dca0d64
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@2dca0d64
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration row_version -> org.hibernate.type.RowVersionType@1cdc4c27
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration image -> org.hibernate.type.ImageType@604f2bd2
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration characters -> org.hibernate.type.CharArrayType@366ac49b
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration char[] -> org.hibernate.type.CharArrayType@366ac49b
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration [C -> org.hibernate.type.CharArrayType@366ac49b
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@663411de
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@663411de
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@663411de
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration text -> org.hibernate.type.TextType@33b1c5c5
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration ntext -> org.hibernate.type.NTextType@34cdeda2
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration blob -> org.hibernate.type.BlobType@42721fe
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@42721fe
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@66746f57
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration clob -> org.hibernate.type.ClobType@17a1e4ca
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@17a1e4ca
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration nclob -> org.hibernate.type.NClobType@c4ed84
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@c4ed84
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@112f364d
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@31d0e481
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration serializable -> org.hibernate.type.SerializableType@35d08e6c
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration object -> org.hibernate.type.ObjectType@2807bdeb
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@2807bdeb
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@39a8312f
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@5f6722d3
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@2c532cd8
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@294e5088
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@51972dc7
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@3700ec9c
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@2002348
2020-05-20 17:10:35 DEBUG BasicTypeRegistry:157 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5911e990
2020-05-20 17:10:35 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2020-05-20 17:10:35 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2020-05-20 17:10:35 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2020-05-20 17:10:35 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
